timestamp,nota,lx,ly,rx,ry,lt,rt,delay_feedback,chorus_depth,reverb_mix
1754611206.9351575,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611206.996975,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.0600557,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.116852,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.1831293,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.2467828,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.3078215,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.3666928,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.4319055,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.4961312,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.559043,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.616167,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.6816852,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.7460864,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.80946,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.8657238,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.9321744,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611207.993784,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611208.056484,--,0.063,-0.03,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.1161237,--,0.063,0.016,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.1795878,--,-0.018,0.045,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.2414122,0,-1.0,0.159,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.3089066,0,-1.0,0.229,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.366123,0,-1.0,0.273,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.428491,0,-1.0,0.221,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.49197,9,-0.973,-0.17,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.556168,--,0.057,-0.086,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.6280344,--,0.055,-0.043,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.6829245,--,0.055,-0.037,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.7488241,--,0.053,-0.035,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.813828,--,0.053,-0.035,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.8768625,--,0.053,-0.035,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611208.9321244,--,0.053,-0.033,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611209.0073183,--,0.053,-0.033,0.033,0.081,1.0,0.0,0.215,0.1,0.517
1754611209.0645657,--,0.053,-0.033,0.033,0.081,1.0,0.0,0.215,0.1,0.517
1754611209.1157854,--,0.053,-0.033,0.033,0.081,0.176,0.0,0.215,0.1,0.517
1754611209.1822605,--,0.053,-0.033,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611209.248377,--,0.053,-0.033,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611209.311965,--,0.053,-0.033,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611209.365664,--,0.053,-0.033,0.033,0.081,0.549,0.0,0.215,0.1,0.517
1754611209.4292169,--,0.053,-0.033,0.033,0.081,0.855,0.0,0.215,0.1,0.517
1754611209.4969332,--,0.053,-0.033,0.033,0.081,0.0,0.0,0.215,0.1,0.517
1754611209.5587826,--,0.053,-0.033,0.033,0.081,0.012,0.0,0.215,0.1,0.517
